NLoad	Load	Time	
0.000000	1035.618896	16.544000
0.000000	1041.870117	16.567000
0.000000	1014.086914	16.590000
0.000000	1028.673096	16.613000
0.000000	1018.948975	16.636000
0.000000	1039.091797	16.658000
0.000000	1025.200195	16.682000
0.000000	1014.086914	16.705000
0.000000	1021.727295	16.729000
0.000000	1030.062256	16.752000
0.000000	1011.308594	16.776000
0.000000	1010.614014	16.799000
0.000000	1016.170654	16.822000
0.000000	1037.008057	16.845000
0.000000	1058.540039	16.867000
0.000000	1014.086914	16.891000
0.000000	1026.589355	16.914000
0.000000	1014.086914	16.938000
0.000000	1026.589355	16.961000
0.000000	1027.978516	16.984000
0.000000	1018.254395	17.007000
0.000000	1023.811035	17.030000
0.000000	1037.008057	17.053000
0.000000	1016.865234	17.075000
0.000000	1023.811035	17.099000
0.000000	1028.673096	17.122000
0.000000	1028.673096	17.146000
0.000000	1027.978516	17.169000
0.000000	1014.781494	17.192000
0.000000	1032.145996	17.215000
0.000000	1037.702637	17.238000
0.000000	1021.727295	17.261000
0.000000	1038.397217	17.283000
0.000000	1021.032715	17.307000
0.000000	1035.618896	17.330000
0.000000	1037.702637	17.354000
0.000000	1031.451416	17.377000
0.000000	1041.870117	17.401000
0.000000	1023.811035	17.424000
0.000000	1035.618896	17.447000
0.000000	1021.032715	17.470000
0.000000	1018.948975	17.492000
0.000000	1013.392334	17.516000
0.000000	1018.948975	17.539000
0.000000	1031.451416	17.563000
0.000000	1043.259277	17.586000
0.000000	1034.924316	17.609000
0.000000	1030.756836	17.632000
0.000000	1021.032715	17.655000
0.000000	1030.062256	17.678000
0.000000	1025.200195	17.700000
0.000000	1013.392334	17.724000
0.000000	1023.811035	17.747000
0.000000	1023.116455	17.771000
0.000000	1014.781494	17.794000
0.000000	1046.732178	17.817000
0.000000	1005.057373	17.840000
0.000000	1021.727295	17.863000
0.000000	1032.145996	17.886000
0.000000	1032.145996	17.908000
0.000000	1036.313477	17.932000
0.000000	1027.978516	17.955000
0.000000	1029.367676	17.979000
0.000000	1026.589355	18.002000
0.000000	1021.032715	18.026000
0.000000	1024.505615	18.049000
0.000000	1028.673096	18.072000
0.000000	1035.618896	18.095000
0.000000	1041.870117	18.117000
0.000000	1013.392334	18.141000
0.000000	1025.200195	18.164000
0.000000	1021.032715	18.188000
0.000000	1005.057373	18.211000
0.000000	1027.283936	18.234000
0.000000	1021.032715	18.257000
0.000000	1032.145996	18.280000
0.000000	1030.062256	18.303000
0.000000	1030.062256	18.325000
0.000000	1041.870117	18.349000
0.000000	1027.283936	18.372000
0.000000	1053.677979	18.396000
0.000000	1022.421875	18.419000
0.000000	1018.254395	18.442000
0.000000	1032.145996	18.465000
0.000000	1027.978516	18.488000
0.000000	1033.535156	18.511000
0.000000	1032.840576	18.533000
0.000000	1019.643555	18.557000
0.000000	1037.702637	18.580000
0.000000	1038.397217	18.604000
0.000000	1028.673096	18.627000
0.000000	1035.618896	18.651000
0.000000	1005.751953	18.674000
0.000000	1025.894775	18.697000
0.000000	1028.673096	18.720000
0.000000	1028.673096	18.742000
0.000000	1044.648437	18.766000
0.000000	1034.924316	18.789000
0.000000	1026.589355	18.813000
0.000000	1024.505615	18.836000
0.000000	1019.643555	18.859000
0.000000	1035.618896	18.882000
0.000000	1023.116455	18.905000
0.000000	1026.589355	18.928000
0.000000	1030.756836	18.950000
0.000000	1017.559814	18.974000
0.000000	1018.948975	18.997000
0.000000	1010.614014	19.021000
0.000000	1013.392334	19.044000
0.000000	1025.200195	19.067000
0.000000	1014.781494	19.090000
0.000000	1022.421875	19.113000
0.000000	1037.702637	19.136000
0.000000	1009.919434	19.158000
0.000000	1039.091797	19.182000
0.000000	998.111572	19.205000
0.000000	1032.840576	19.229000
0.000000	1029.367676	19.252000
0.000000	1011.308594	19.276000
0.000000	1030.062256	19.299000
0.000000	1019.643555	19.322000
0.000000	1020.338135	19.345000
0.000000	1038.397217	19.367000
0.000000	1019.643555	19.391000
0.000000	1025.894775	19.414000
0.000000	1032.840576	19.438000
0.000000	1018.948975	19.461000
0.000000	1045.343018	19.484000
0.000000	1012.003174	19.507000
0.000000	1023.811035	19.530000
0.000000	1015.476074	19.553000
0.000000	1009.224854	19.575000
0.000000	1049.510498	19.599000
0.000000	1026.589355	19.622000
0.000000	1027.283936	19.646000
0.000000	1037.702637	19.669000
0.000000	1027.978516	19.692000
0.000000	1035.618896	19.715000
0.000000	1012.697754	19.738000
0.000000	1007.141113	19.761000
0.000000	1039.786377	19.783000
0.000000	1018.948975	19.807000
0.000000	1030.756836	19.830000
0.000000	1014.781494	19.854000
0.000000	998.806152	19.877000
0.000000	1031.451416	19.901000
0.000000	1014.781494	19.924000
0.000000	1030.756836	19.947000
0.000000	1018.254395	19.970000
0.000000	1016.865234	19.992000
0.000000	1025.894775	20.016000
