Load	Ext	Time
1011.352539	-1.311319	140.210999
1006.469727	-1.311684	140.408005
1002.197266	-1.311866	140.610992
1000.976562	-1.313144	140.811996
998.535156	-1.311410	141.011993
989.990234	-1.310497	141.209000
984.497070	-1.309494	141.412003
980.224609	-1.310497	141.613998
977.172852	-1.310862	141.815002
950.927734	-1.309950	142.009995
947.875977	-1.310224	142.212997
943.603516	-1.309767	142.414001
936.889648	-1.309220	142.613998
936.279297	-1.309129	142.815002
935.058594	-1.309676	143.009003
925.292969	-1.309585	143.214005
916.748047	-1.308764	143.410004
907.592773	-1.308490	143.613007
900.878906	-1.307577	143.811996
898.437500	-1.306574	144.009995
902.099609	-1.307851	144.210007
875.854492	-1.307030	144.414001
858.154297	-1.307943	144.613998
863.037109	-1.307121	144.813995
858.764648	-1.306026	145.011993
868.530273	-1.308034	145.209000
855.102539	-1.305844	145.412003
852.661133	-1.308216	145.613007
851.440430	-1.308855	145.809006
861.816406	-1.306391	146.011993
854.492187	-1.306118	146.214005
849.609375	-1.304019	146.410995
841.674805	-1.306665	146.613007
